number,solved,mode,solution
1148,TRUE,3,1^4 = 1^8
1149,TRUE,3,1^4 = 1^9
1150,TRUE,3,1^5 = 1^0
1151,TRUE,3,1^5 = 1^1
1152,TRUE,3,1^5 = 1^2
1153,TRUE,1,1+1+3 = 5
1154,TRUE,3,1^5 = 1^4
1155,TRUE,1,1+5 = 1+5
1156,TRUE,3,1^5 = 1^6
1157,TRUE,1,1+1+5 = 7
1158,TRUE,3,1^5 = 1^8
1159,TRUE,3,1^5 = 1^9
1160,TRUE,3,1^6 = 1^0
1161,TRUE,3,1^6 = 1^1
1162,TRUE,3,1^6 = 1^2
1163,TRUE,3,1^6 = 1^3
1164,TRUE,1,1+1+4 = 6
1165,TRUE,3,1^6 = 1^5
1166,TRUE,1,1+6 = 1+6
1167,TRUE,3,1^6 = 1^7
1168,TRUE,1,1+1+6 = 8
1169,TRUE,3,1^6 = 1^9
1170,TRUE,3,1^7 = 1^0
1171,TRUE,3,1^7 = 1^1
1172,TRUE,3,1^7 = 1^2
1173,TRUE,3,1^7 = 1^3
1174,TRUE,3,1^7 = 1^4
1175,TRUE,1,1+1+5 = 7
1176,TRUE,3,1^7 = 1^6
1177,TRUE,1,1+7 = 1+7
1178,TRUE,3,1^7 = 1^8
1179,TRUE,1,1+1+7 = 9
1180,TRUE,3,1^8 = 1^0
1181,TRUE,3,1^8 = 1^1
1182,TRUE,3,1^8 = 1^2
1183,TRUE,3,1^8 = 1^3
1184,TRUE,3,1^8 = 1^4
1185,TRUE,3,1^8 = 1^5
1186,TRUE,1,1+1+6 = 8
1187,TRUE,3,1^8 = 1^7
1188,TRUE,1,1+8 = 1+8
1189,TRUE,3,1^8 = 1^9
1190,TRUE,3,1^9 = 1^0
1191,TRUE,3,1^9 = 1^1
1192,TRUE,3,1^9 = 1^2
1193,TRUE,3,1^9 = 1^3
1194,TRUE,3,1^9 = 1^4
1195,TRUE,3,1^9 = 1^5
1196,TRUE,3,1^9 = 1^6
1197,TRUE,1,1+1+7 = 9
1198,TRUE,3,1^9 = 1^8
1199,TRUE,1,1+9 = 1+9
1200,TRUE,2,1*0 = 2*0
1201,TRUE,1,1+1 = 2+0
1202,TRUE,4,1*2+0 = 2
1203,TRUE,1,1+2 = 0+3
1204,TRUE,5,0!+2+1 = 4
1205,TRUE,5,0!^2 = 1^5
1206,TRUE,5,0!^2 = 1^6
1207,TRUE,5,0!^2 = 1^7
1208,TRUE,5,0!^2 = 1^8
1209,TRUE,5,0!^2 = 1^9
1210,TRUE,1,1+1 = 2+0
1211,TRUE,3,1^2 = 1^1
1212,TRUE,1,1+2 = 1+2
1213,TRUE,3,1^2 = 1^3
1214,TRUE,1,1+2+1 = 4
1215,TRUE,3,1^2 = 1^5
1216,TRUE,3,1^2 = 1^6
1217,TRUE,3,1^2 = 1^7
1218,TRUE,3,1^2 = 1^8
1219,TRUE,3,1^2 = 1^9
1220,TRUE,4,1*2+0 = 2
1221,TRUE,1,1+2 = 2+1
1222,TRUE,6,1+2/2 = 2
1223,TRUE,1,1+3 = 2+2
1224,TRUE,2,1*4 = 2*2
1225,TRUE,1,1+2+2 = 5
1226,TRUE,6,6/2-1 = 2
1227,TRUE,8,1^7*2 = 2
1228,TRUE,8,1^8*2 = 2
1229,TRUE,8,1^9*2 = 2
1230,TRUE,1,1+2 = 3+0
1231,TRUE,3,1^2 = 1^3
1232,TRUE,1,1+3 = 2+2
1233,TRUE,6,1+3/3 = 2
1234,TRUE,1,1+4 = 2+3
1235,TRUE,4,1*2+3 = 5
1236,TRUE,1,1+2+3 = 6
1237,TRUE,4,1+2*3 = 7
1238,TRUE,6,8/2-1 = 3
1239,TRUE,6,9/3-1 = 2
1240,TRUE,5,0!+2+1 = 4
1241,TRUE,1,1+2+1 = 4
1242,TRUE,2,1*4 = 2*2
1243,TRUE,1,1+4 = 2+3
1244,TRUE,6,1+4/4 = 2
1245,TRUE,1,1+5 = 2+4
1246,TRUE,4,1*2+4 = 6
1247,TRUE,1,1+2+4 = 7
1248,TRUE,2,1*8 = 2*4
1249,TRUE,4,1+2*4 = 9
1250,TRUE,5,0!^2 = 1^5
1251,TRUE,3,1^2 = 1^5
1252,TRUE,1,1+2+2 = 5
1253,TRUE,4,1*2+3 = 5
1254,TRUE,1,1+5 = 2+4
1255,TRUE,6,1+5/5 = 2
1256,TRUE,1,1+6 = 2+5
1257,TRUE,4,1*2+5 = 7
1258,TRUE,1,1+2+5 = 8
1259,TRUE,4,2*5 = 1+9
1260,TRUE,5,0!^2 = 1^6
1261,TRUE,3,1^2 = 1^6
1262,TRUE,6,6/2-1 = 2
1263,TRUE,1,1+2+3 = 6
1264,TRUE,4,1*2+4 = 6
1265,TRUE,1,1+6 = 2+5
1266,TRUE,6,1+6/6 = 2
1267,TRUE,1,1+7 = 2+6
1268,TRUE,4,1*2+6 = 8
1269,TRUE,1,1+2+6 = 9
1270,TRUE,5,0!^2 = 1^7
1271,TRUE,3,1^2 = 1^7
1272,TRUE,8,1^7*2 = 2
1273,TRUE,4,1+2*3 = 7
1274,TRUE,1,1+2+4 = 7
1275,TRUE,4,1*2+5 = 7
1276,TRUE,1,1+7 = 2+6
1277,TRUE,6,1+7/7 = 2
1278,TRUE,1,1+8 = 2+7
1279,TRUE,4,1*2+7 = 9
1280,TRUE,5,0!^2 = 1^8
1281,TRUE,3,1^2 = 1^8
1282,TRUE,8,1^8*2 = 2
1283,TRUE,6,8/2-1 = 3
1284,TRUE,2,1*8 = 2*4
1285,TRUE,1,1+2+5 = 8
1286,TRUE,4,1*2+6 = 8
1287,TRUE,1,1+8 = 2+7
1288,TRUE,6,1+8/8 = 2
1289,TRUE,1,1+9 = 2+8
1290,TRUE,5,0!^2 = 1^9
1291,TRUE,3,1^2 = 1^9
1292,TRUE,8,1^9*2 = 2
1293,TRUE,6,9/3-1 = 2
1294,TRUE,4,1+2*4 = 9
1295,TRUE,4,2*5 = 1+9
1296,TRUE,1,1+2+6 = 9
1297,TRUE,4,1*2+7 = 9
1298,TRUE,1,1+9 = 2+8
1299,TRUE,6,1+9/9 = 2
1300,TRUE,2,1*0 = 3*0
1301,TRUE,3,1^3 = 1^0
1302,TRUE,1,1+2 = 3+0
1303,TRUE,4,1*3+0 = 3
1304,TRUE,1,1+3 = 0+4
1305,TRUE,5,0!+3+1 = 5
1306,TRUE,5,0!^3 = 1^6
1307,TRUE,5,0!^3 = 1^7
1308,TRUE,5,0!^3 = 1^8
1309,TRUE,5,0!^3 = 1^9
1310,TRUE,3,1^3 = 1^0
1311,TRUE,1,1+1+1 = 3
1312,TRUE,3,1^3 = 1^2
1313,TRUE,1,1+3 = 1+3
1314,TRUE,3,1^3 = 1^4
1315,TRUE,1,1+3+1 = 5
1316,TRUE,3,1^3 = 1^6
1317,TRUE,3,1^3 = 1^7
1318,TRUE,3,1^3 = 1^8
1319,TRUE,3,1^3 = 1^9
1320,TRUE,1,1+2 = 3+0
1321,TRUE,3,1^3 = 1^2
1322,TRUE,1,1+3 = 2+2
1323,TRUE,6,1+3/3 = 2
1324,TRUE,1,1+4 = 3+2
1325,TRUE,4,1*3+2 = 5
1326,TRUE,1,1+3+2 = 6
1327,TRUE,4,1+3*2 = 7
1328,TRUE,6,8/2-1 = 3
1329,TRUE,6,9/3-1 = 2
1330,TRUE,4,1*3+0 = 3
1331,TRUE,1,1+3 = 3+1
1332,TRUE,6,1+3/3 = 2
1333,TRUE,6,1*3+3 = 3!
1334,TRUE,6,1+3! = 3+4
1335,TRUE,1,1+5 = 3+3
1336,TRUE,4,1*3+3 = 6
1337,TRUE,1,1+3+3 = 7
1338,TRUE,4,3*3 = 1+8
1339,TRUE,2,1*9 = 3*3
1340,TRUE,1,1+3 = 4+0
1341,TRUE,3,1^3 = 1^4
1342,TRUE,1,1+4 = 3+2
1343,TRUE,6,1+3! = 4+3
1344,TRUE,6,1*4! = 3!*4
1345,TRUE,6,1+4!/3! = 5
1346,TRUE,1,1+6 = 3+4
1347,TRUE,4,1*3+4 = 7
1348,TRUE,1,1+3+4 = 8
1349,TRUE,6,1+9/3 = 4
1350,TRUE,5,0!+3+1 = 5
1351,TRUE,1,1+3+1 = 5
1352,TRUE,4,1*3+2 = 5
1353,TRUE,1,1+5 = 3+3
1354,TRUE,6,1+4!/3! = 5
1355,TRUE,8,1^3*5 = 5
1356,TRUE,6,1*(3!)! = 6*5!
1357,TRUE,1,1+7 = 3+5
1358,TRUE,4,1*3+5 = 8
1359,TRUE,1,1+3+5 = 9
1360,TRUE,5,0!^3 = 1^6
1361,TRUE,3,1^3 = 1^6
1362,TRUE,1,1+3+2 = 6
1363,TRUE,4,1*3+3 = 6
1364,TRUE,1,1+6 = 3+4
1365,TRUE,6,1*(3!)! = 6*5!
1366,TRUE,8,1^3*6 = 6
1367,TRUE,6,7!/(3!)!-1 = 6
1368,TRUE,1,1+8 = 3+6
1369,TRUE,4,1*3+6 = 9
1370,TRUE,5,0!^3 = 1^7
1371,TRUE,3,1^3 = 1^7
1372,TRUE,4,1+3*2 = 7
1373,TRUE,1,1+3+3 = 7
1374,TRUE,4,1*3+4 = 7
1375,TRUE,1,1+7 = 3+5
1376,TRUE,6,7!/(3!)!-1 = 6
1377,TRUE,8,1^3*7 = 7
1378,TRUE,8,1^3+7 = 8
1379,TRUE,1,1+9 = 3+7
1380,TRUE,5,0!^3 = 1^8
1381,TRUE,3,1^3 = 1^8
1382,TRUE,6,8/2-1 = 3
1383,TRUE,4,3*3 = 1+8
1384,TRUE,1,1+3+4 = 8
1385,TRUE,4,1*3+5 = 8
1386,TRUE,1,1+8 = 3+6
1387,TRUE,8,1^3+7 = 8
1388,TRUE,8,1^3*8 = 8
1389,TRUE,8,1^3+8 = 9
1390,TRUE,5,0!^3 = 1^9
1391,TRUE,3,1^3 = 1^9
1392,TRUE,6,9/3-1 = 2
1393,TRUE,2,1*9 = 3*3
1394,TRUE,6,1+9/3 = 4
1395,TRUE,1,1+3+5 = 9
1396,TRUE,4,1*3+6 = 9
1397,TRUE,1,1+9 = 3+7
1398,TRUE,8,1^3+8 = 9
1399,TRUE,8,1^3*9 = 9
1400,TRUE,2,1*0 = 4*0
1401,TRUE,3,1^4 = 1^0
1402,TRUE,5,0!+1+2 = 4
1403,TRUE,1,1+3 = 4+0
1404,TRUE,4,1*4+0 = 4
1405,TRUE,1,1+4 = 0+5
1406,TRUE,5,0!+4+1 = 6
1407,TRUE,5,0!^4 = 1^7
1408,TRUE,5,0!^4 = 1^8
1409,TRUE,5,0!^4 = 1^9
1410,TRUE,3,1^4 = 1^0
1411,TRUE,3,1^4 = 1^1
1412,TRUE,1,1+1+2 = 4
1413,TRUE,3,1^4 = 1^3
1414,TRUE,1,1+4 = 1+4
1415,TRUE,3,1^4 = 1^5
1416,TRUE,1,1+4+1 = 6
1417,TRUE,3,1^4 = 1^7
1418,TRUE,3,1^4 = 1^8
1419,TRUE,3,1^4 = 1^9
1420,TRUE,5,0!+2+1 = 4
1421,TRUE,1,1+2+1 = 4
1422,TRUE,2,1*4 = 2*2
1423,TRUE,1,1+4 = 2+3
1424,TRUE,6,1+4/4 = 2
1425,TRUE,1,1+5 = 4+2
1426,TRUE,4,1*4+2 = 6
1427,TRUE,1,1+4+2 = 7
1428,TRUE,2,1*8 = 4*2
1429,TRUE,4,1+4*2 = 9
1430,TRUE,1,1+3 = 4+0
1431,TRUE,3,1^4 = 1^3
1432,TRUE,1,1+4 = 3+2
1433,TRUE,6,1+3! = 4+3
1434,TRUE,6,1*4! = 3!*4
1435,TRUE,6,1+4!/3! = 5
1436,TRUE,1,1+6 = 4+3
1437,TRUE,4,1*4+3 = 7
1438,TRUE,1,1+4+3 = 8
1439,TRUE,6,1+9/3 = 4
1440,TRUE,4,1*4+0 = 4
1441,TRUE,1,1+4 = 4+1
1442,TRUE,6,1+4/4 = 2
1443,TRUE,6,1*4! = 4*3!
1444,TRUE,8,1^4*4 = 4
1445,TRUE,6,4!/4-1 = 5
1446,TRUE,6,1*4! = 4*6
1447,TRUE,1,1+7 = 4+4
1448,TRUE,4,1*4+4 = 8
1449,TRUE,1,1+4+4 = 9
1450,TRUE,1,1+4 = 5+0
1451,TRUE,3,1^4 = 1^5
1452,TRUE,1,1+5 = 4+2
1453,TRUE,6,1+4!/3! = 5
1454,TRUE,6,4!/4-1 = 5
1455,TRUE,6,5*5 = 1+4!
1456,TRUE,6,1+4!/6 = 5
1457,TRUE,8,1^7+4 = 5
1458,TRUE,1,1+8 = 4+5
1459,TRUE,4,1*4+5 = 9
1460,TRUE,5,0!+4+1 = 6
1461,TRUE,1,1+4+1 = 6
1462,TRUE,4,1*4+2 = 6
1463,TRUE,1,1+6 = 4+3
1464,TRUE,6,1*4! = 6*4
1465,TRUE,6,1+4!/6 = 5
1466,TRUE,8,1^4*6 = 6
1467,TRUE,8,1^4+6 = 7
1468,TRUE,13,√((1+8)*4) = 6
1469,TRUE,1,1+9 = 4+6
1470,TRUE,5,0!^4 = 1^7
1471,TRUE,3,1^4 = 1^7
1472,TRUE,1,1+4+2 = 7
1473,TRUE,4,1*4+3 = 7
1474,TRUE,1,1+7 = 4+4
1475,TRUE,8,1^7+4 = 5
1476,TRUE,8,1^4+6 = 7
1477,TRUE,8,1^4*7 = 7
1478,TRUE,8,1^4+7 = 8
1479,TRUE,14,√(4*1) = 7-9
1480,TRUE,5,0!^4 = 1^8
1481,TRUE,3,1^4 = 1^8
1482,TRUE,2,1*8 = 4*2
1483,TRUE,1,1+4+3 = 8
1484,TRUE,4,1*4+4 = 8
1485,TRUE,1,1+8 = 4+5
1486,TRUE,13,√((1+8)*4) = 6
1487,TRUE,8,1^4+7 = 8
1488,TRUE,8,1^4*8 = 8
1489,TRUE,8,1^4+8 = 9
1490,TRUE,5,0!^4 = 1^9
1491,TRUE,3,1^4 = 1^9
1492,TRUE,4,1+4*2 = 9
1493,TRUE,6,1+9/3 = 4
1494,TRUE,1,1+4+4 = 9
1495,TRUE,4,1*4+5 = 9
1496,TRUE,1,1+9 = 4+6
1497,TRUE,14,√(4*1) = 7-9
1498,TRUE,8,1^4+8 = 9
1499,TRUE,8,1^4*9 = 9
1500,TRUE,2,1*0 = 5*0
1501,TRUE,3,1^5 = 1^0
1502,TRUE,5,0!^5 = 1^2
1503,TRUE,5,0!+1+3 = 5
1504,TRUE,1,1+4 = 5+0
1505,TRUE,4,1*5+0 = 5
1506,TRUE,1,1+5 = 0+6
1507,TRUE,5,0!+5+1 = 7
1508,TRUE,5,0!^5 = 1^8
1509,TRUE,5,0!^5 = 1^9
1510,TRUE,3,1^5 = 1^0
1511,TRUE,3,1^5 = 1^1
1512,TRUE,3,1^5 = 1^2
1513,TRUE,1,1+1+3 = 5
1514,TRUE,3,1^5 = 1^4
1515,TRUE,1,1+5 = 1+5
1516,TRUE,3,1^5 = 1^6
1517,TRUE,1,1+5+1 = 7
1518,TRUE,3,1^5 = 1^8
1519,TRUE,3,1^5 = 1^9
1520,TRUE,5,0!^5 = 1^2
1521,TRUE,3,1^5 = 1^2
1522,TRUE,1,1+2+2 = 5
1523,TRUE,4,1*2+3 = 5
1524,TRUE,1,1+5 = 2+4
1525,TRUE,6,1+5/5 = 2
1526,TRUE,1,1+6 = 5+2
1527,TRUE,4,1*5+2 = 7
1528,TRUE,1,1+5+2 = 8
1529,TRUE,4,5*2 = 1+9
1530,TRUE,5,0!+3+1 = 5
1531,TRUE,1,1+3+1 = 5
1532,TRUE,4,1*3+2 = 5
1533,TRUE,1,1+5 = 3+3
1534,TRUE,6,1+4!/3! = 5
1535,TRUE,8,1^5+5 = 6
1536,TRUE,6,1*(3!)! = 5!*6
1537,TRUE,1,1+7 = 5+3
1538,TRUE,4,1*5+3 = 8
1539,TRUE,1,1+5+3 = 9
1540,TRUE,1,1+4 = 5+0
1541,TRUE,3,1^5 = 1^4
1542,TRUE,1,1+5 = 4+2
1543,TRUE,6,1+4!/3! = 5
1544,TRUE,6,4!/4-1 = 5
1545,TRUE,6,5*5 = 1+4!
1546,TRUE,6,1+4!/6 = 5
1547,TRUE,8,1^7+4 = 5
1548,TRUE,1,1+8 = 5+4
1549,TRUE,4,1*5+4 = 9
1550,TRUE,4,1*5+0 = 5
1551,TRUE,1,1+5 = 5+1
1552,TRUE,6,1+5/5 = 2
1553,TRUE,8,1^5+5 = 6
1554,TRUE,6,5*5 = 1+4!
1555,TRUE,8,1^5*5 = 5
1556,TRUE,6,6!/5!-1 = 5
1557,TRUE,8,1^7*5 = 5
1558,TRUE,8,1^8*5 = 5
1559,TRUE,1,1+9 = 5+5
1560,TRUE,1,1+5 = 6+0
1561,TRUE,3,1^5 = 1^6
1562,TRUE,1,1+6 = 5+2
1563,TRUE,6,1*6! = 5!*3!
1564,TRUE,6,1+4!/6 = 5
1565,TRUE,6,6!/5!-1 = 5
1566,TRUE,6,1*6! = 5!*6
1567,TRUE,6,1+6!/5! = 7
1568,TRUE,8,1^8+5 = 6
1569,TRUE,8,1^9+5 = 6
1570,TRUE,5,0!+5+1 = 7
1571,TRUE,1,1+5+1 = 7
1572,TRUE,4,1*5+2 = 7
1573,TRUE,1,1+7 = 5+3
1574,TRUE,8,1^7+4 = 5
1575,TRUE,8,1^7*5 = 5
1576,TRUE,6,1+6!/5! = 7
1577,TRUE,8,1^5*7 = 7
1578,TRUE,8,1^5+7 = 8
1579,TRUE,14,√(5-1) = 7-9
1580,TRUE,5,0!^5 = 1^8
1581,TRUE,3,1^5 = 1^8
1582,TRUE,1,1+5+2 = 8
1583,TRUE,4,1*5+3 = 8
1584,TRUE,1,1+8 = 5+4
1585,TRUE,8,1^8*5 = 5
1586,TRUE,8,1^8+5 = 6
1587,TRUE,8,1^5+7 = 8
1588,TRUE,8,1^5*8 = 8
1589,TRUE,8,1^5+8 = 9
1590,TRUE,5,0!^5 = 1^9
1591,TRUE,3,1^5 = 1^9
1592,TRUE,4,5*2 = 1+9
1593,TRUE,1,1+5+3 = 9
1594,TRUE,4,1*5+4 = 9
1595,TRUE,1,1+9 = 5+5
1596,TRUE,8,1^9+5 = 6
1597,TRUE,14,√(5-1) = 7-9
1598,TRUE,8,1^5+8 = 9
1599,TRUE,8,1^5*9 = 9
1600,TRUE,2,1*0 = 6*0
1601,TRUE,3,1^6 = 1^0
1602,TRUE,5,0!^6 = 1^2
1603,TRUE,5,0!^6 = 1^3
1604,TRUE,5,0!+1+4 = 6
1605,TRUE,1,1+5 = 6+0
1606,TRUE,4,1*6+0 = 6
1607,TRUE,1,1+6 = 0+7
1608,TRUE,5,0!+6+1 = 8
1609,TRUE,5,0!^6 = 1^9
1610,TRUE,3,1^6 = 1^0
1611,TRUE,3,1^6 = 1^1
1612,TRUE,3,1^6 = 1^2
1613,TRUE,3,1^6 = 1^3
1614,TRUE,1,1+1+4 = 6
1615,TRUE,3,1^6 = 1^5
1616,TRUE,1,1+6 = 1+6
1617,TRUE,3,1^6 = 1^7
1618,TRUE,1,1+6+1 = 8
1619,TRUE,3,1^6 = 1^9
1620,TRUE,5,0!^6 = 1^2
1621,TRUE,3,1^6 = 1^2
1622,TRUE,6,6/2-1 = 2
1623,TRUE,1,1+2+3 = 6
1624,TRUE,4,1*2+4 = 6
1625,TRUE,1,1+6 = 2+5
1626,TRUE,6,1+6/6 = 2
1627,TRUE,1,1+7 = 6+2
1628,TRUE,4,1*6+2 = 8
1629,TRUE,1,1+6+2 = 9
1630,TRUE,5,0!^6 = 1^3
1631,TRUE,3,1^6 = 1^3
1632,TRUE,1,1+3+2 = 6
1633,TRUE,4,1*3+3 = 6
1634,TRUE,1,1+6 = 3+4
1635,TRUE,6,1*6! = 3!*5!
1636,TRUE,8,1^3*6 = 6
1637,TRUE,6,7!/6!-1 = 3!
1638,TRUE,1,1+8 = 6+3
1639,TRUE,4,1*6+3 = 9
1640,TRUE,5,0!+4+1 = 6
1641,TRUE,1,1+4+1 = 6
1642,TRUE,4,1*4+2 = 6
1643,TRUE,1,1+6 = 4+3
1644,TRUE,6,1*4! = 6*4
1645,TRUE,6,1+4!/6 = 5
1646,TRUE,8,1^4*6 = 6
1647,TRUE,8,1^4+6 = 7
1648,TRUE,13,√((1+8)*4) = 6
1649,TRUE,1,1+9 = 6+4
1650,TRUE,1,1+5 = 6+0
1651,TRUE,3,1^6 = 1^5
1652,TRUE,1,1+6 = 5+2
1653,TRUE,6,1*6! = 5!*3!
1654,TRUE,6,1+4!/6 = 5
1655,TRUE,6,6!/5!-1 = 5
1656,TRUE,6,1*6! = 5!*6
1657,TRUE,6,1+6!/5! = 7
1658,TRUE,8,1^8+5 = 6
1659,TRUE,8,1^9+5 = 6
1660,TRUE,4,1*6+0 = 6
1661,TRUE,1,1+6 = 6+1
1662,TRUE,6,1+6/6 = 2
1663,TRUE,8,1^3*6 = 6
1664,TRUE,8,1^4*6 = 6
1665,TRUE,6,1*6! = 6*5!
1666,TRUE,8,1^6*6 = 6
1667,TRUE,6,7!/6!-1 = 6
1668,TRUE,8,1^8*6 = 6
1669,TRUE,8,1^9*6 = 6
1670,TRUE,1,1+6 = 7+0
1671,TRUE,3,1^6 = 1^7
1672,TRUE,1,1+7 = 6+2
1673,TRUE,6,7!/6!-1 = 3!
1674,TRUE,8,1^4+6 = 7
1675,TRUE,6,1+6!/5! = 7
1676,TRUE,6,7!/6!-1 = 6
1677,TRUE,6,1*7! = 6!*7
1678,TRUE,6,1+7!/6! = 8
1679,TRUE,8,1^9+6 = 7
1680,TRUE,5,0!+6+1 = 8
1681,TRUE,1,1+6+1 = 8
1682,TRUE,4,1*6+2 = 8
1683,TRUE,1,1+8 = 6+3
1684,TRUE,13,√((1+8)*4) = 6
1685,TRUE,8,1^8+5 = 6
1686,TRUE,8,1^8*6 = 6
1687,TRUE,6,1+7!/6! = 8
1688,TRUE,8,1^6*8 = 8
